,2025,Year,S8HY6A9G1mT1rup6oSMjrYfmt132,TeacherUID,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ID,FullName,Class,NickName,Class,מין,שכבה,מקבילה,תאריך לידה,City,Address,Mail,Phone,Parent1,Parent1Phone,Parent2,Parent2Phone,Major,TaglitDate,Medical,ExtraTimeEtc
333333222,מיכאלי גיא,יב482,מיכאלי,יב482,ז,יב,8,22/04/2006,רמת השרון,השפלה 15,main@gmail.com,501112222,אבנר תום (אבא),501112222,טבת סילי (אמא),501112222,מדעי המחשב,,,
333333223,מלכה הדר,יב482,הדר,יב482,ז,יב,8,22/04/2006,רמת השרון,השפלה 15,main@gmail.com,501112222,אבנר תום (אבא),501112222,טבת סילי (אמא),501112222,גיאוגרפיה,,,
333333224,ספקטור ירדן,יב482,ירדן,יב482,ז,יב,5,22/04/2006,רמת השרון,השפלה 15,main@gmail.com,501112222,אבנר תום (אבא),501112222,טבת סילי (אמא),501112222,מדעי החברה,,,
333333225,עוז מיקה,יב482,מיקה,יב482,נ,יב,8,22/04/2006,רמת השרון,השפלה 15,main@gmail.com,501112222,אבנר תום (אבא),501112222,טבת סילי (אמא),501112222,עיצוב,,,
333333226,צימרמן איה,יב482,איה,יב482,נ,יב,8,22/04/2006,רמת השרון,השפלה 15,main@gmail.com,501112222,אבנר תום (אבא),501112222,טבת סילי (אמא),501112222,מדעי החברה,,,
333333227,קלנר גלי,יב482,גלי,יב482,נ,יב,5,22/04/2006,רמת השרון,השפלה 15,main@gmail.com,501112222,אבנר תום (אבא),501112222,טבת סילי (אמא),501112222,עיצוב,,,
333333228,קניאזר סיון,יב482,סיוון,יב482,נ,יב,3,22/04/2006,רמת השרון,השפלה 15,main@gmail.com,501112222,אבנר תום (אבא),501112222,טבת סילי (אמא),501112222,ביולוגיה,,,
333333229,רוזן דריה,יב482,דריה,יב482,נ,יב,8,22/04/2006,רמת השרון,השפלה 15,main@gmail.com,501112222,אבנר תום (אבא),501112222,טבת סילי (אמא),501112222,תיאטרון,,,
333333230,רותם סימון יעל,יב482,יעל,יב482,נ,יב,8,22/04/2006,רמת השרון,השפלה 15,main@gmail.com,501112222,אבנר תום (אבא),501112222,טבת סילי (אמא),501112222,תיאטרון,01/08/2017,,
333333231,שטרלינג שחר,יב482,שחר,יב482,ז,יב,5,22/04/2006,רמת השרון,השפלה 15,main@gmail.com,501112222,אבנר תום (אבא),501112222,טבת סילי (אמא),501112222,מדעי החברה,,,
333333232,אבידן ניר,יא571,ניר,יב482,נ,יב,8,22/04/2006,רמת השרון,השפלה 15,main@gmail.com,501112222,אבנר תום (אבא),501112222,טבת סילי (אמא),501112222,תיאטרון,,,
333333233,אייזין מיכל רבקה,יא571,מיכל,יא571,ז,יב,8,22/04/2006,רמת השרון,השפלה 15,main@gmail.com,501112222,אבנר תום (אבא),501112222,טבת סילי (אמא),501112222,מדעי המחשב,,,
333333234,אילן מרים,יא571,מרים,יא571,נ,יב,8,22/04/2006,רמת השרון,השפלה 15,main@gmail.com,501112222,אבנר תום (אבא),501112222,טבת סילי (אמא),501112222,תיאטרון,,,
333333235,אפוד רותם,יא571,אפוד,יא571,נ,יב,8,22/04/2006,רמת השרון,השפלה 15,main@gmail.com,501112222,אבנר תום (אבא),501112222,טבת סילי (אמא),501112222,ביולוגיה,,,
